title,nivel,weather,basic,adventurous,style,fit,color_name
Bsmegan Dress bow ,1,cold,false,two,minimal classic,straight,orange_rust
Bsmegan Dress bow ,1,cold,false,two,minimal classic,straight,blue_dark
Bsomahana Sweater autumn ,2,cold,false,three,boho casual,oversize,brown_beige
Bsomega Sweatshirt blendshe ,2,cold,false,three,street,oversize,yellow_mustand
Bsshirley Shirt print ,2,cold,false,two,boho classic,straight,orange_rust
Bstangier Sweater neck,2,cold,false,three,boho street,oversize,brown_beige
Bsterra Dress floral,1,cold,false,two,boho classic,straight,blue
Bsulfa Sweater blendshe ,2,cold,false,two,classic minimal,straight,black
Bsullon Tshirt blendshe ,2,warm,false,three,street boho,straight,black
Bsullon Tshirt nice ,2,warm,false,four,street,loose,orange_rust
Bsummi Sweater blendshe ,2,cold,false,two,boho casual,straight,blue_dark
Bsummi Sweater brand ,2,cold,false,two,boho,loose,yellow_mustand
Bsveron Skirt highweist ,1,both,true,one two three,casual classic street,tight,brown_ecru
Bsveron Skirt highweist ,1,both,true,one two three,casual classic street,tight,blue_dark
Bsveron Skirt highweist ,1,both,true,one two three,casual classic street,tight,white
Bsviola Skirt mini ,1,cold,false,two,classic street,tight,blue_dark
Bswilma Skirt mini ,1,cold,false,three,classic street,straight,blue_dark
Bufalo Scarf sew ,3,cold,,two three,boho classic,,blue_dark
Bufalo Scarf sew ,3,cold,,two three,boho classic,,garnet
Buffi Shirt dots ,2,warm,false,two three,classic night,straight,green_khaki
Buffi Shirt dots ,2,warm,false,two three,classic night,straight,blue
Buffi Shirt dots ,2,warm,false,two three,classic night,straight,black
Buller Sweater cns,2,cold,false,three,street,tight,garnet
Buttons Skirt maia ,1,warm,false,two,boho classic,straight,green_khaki
Byaida Jacket young ,3,cold,false,two three,casual classic,straight,black
Byaida Jacket young ,3,cold,false,two three,casual classic,straight,garnet
Byaida Jacket young ,3,cold,false,two three,casual classic,straight,green_khaki
Byaida Jacket young ,3,cold,false,two three,casual classic,straight,black
Bybomina Jacket young,3,cold,false,two,casual,straight,blue_dark
Bybomina Jacket young,3,cold,false,two,casual,straight,black
Bybomina Jacket young,3,cold,false,two,casual,straight,green_khaki
Bybomina Jacket young,3,cold,false,two,casual,straight,green_khaki
Bybomina Jacket young ,3,cold,false,two,street minimal,straight,blue_dark
Bybomina Jacket young ,3,cold,false,two,street minimal,straight,blue_light
Bybomina Jacket young ,3,cold,false,two,street minimal,straight,green
Bycirline Jacket belt ,3,cold,false,two,classic boho,straight,yellow_mustand
Bycirline Jacket belt ,3,cold,false,two,classic boho,straight,blue
Bydanta Pant belt ,1,cold,false,two three,classic minimal,straight,orange
Bydanta Pant belt ,1,cold,false,two three,classic minimal,straight,yellow
Bydanta Pant belt ,1,cold,false,two three,classic minimal,straight,blue_dark
Bydanta Pant belt ,1,cold,false,two three,classic minimal,straight,green_light
Bygetagar Dress young,1,cold,false,three two,classic boho,loose,blue_dark
Bygitten Shirt placket,2,cold,false,two,classic boho,straight,red
Bygitten Shirt placket,2,cold,false,two,classic boho,straight,green
Bygitten Shirt placket,2,cold,false,two,classic boho,straight,black
Byhabella Dress shirt ,1,warm,false,three,boho classic,straight,black
Byhabella Shirt young ,2,warm,false,two three,boho classic,straight,blue_dark
Byhisla Shirt tunic ,2,warm,false,three,boho classic,straight,yellow
Bykeira Jeans jegging,1,cold,false,two,casual,tight,black
Bykeira Jeans jegging,1,cold,false,two,casual,tight,brown_ecru
Bykeira Jeans jegging,1,cold,false,two,casual,tight,blue_dark
Bykiko Skirt knit ,1,cold,false,three,street,tight,red
