title,nivel,weather,basic,adventurous,style,fit,color_name
Vicky Tshirt street,2,warm,false,two three,boho classic,straight,garnet
Vicky Tshirt street,2,warm,false,two three,boho classic,straight,white
Viclassy Dress noos ,1,both,false,two three,classic,straight,purple_aubergine
Viclassy Dress noos ,1,both,false,two three,classic,straight,black
Viclassy Dress noos ,1,both,false,two three,classic,straight,green_dark
Vicom Jeans noos,1,both,false,two three,street night,tight,black
Vicommit Skirt noos,1,warm,false,two three,casual street,tight,blue
Vicommit Skirt noos ,1,cold,false,two,street casual,tight,black
Vicosana Scarf wool ,3,cold,,two three,classic,,brown
Vicris Jacket suede ,3,cold,false,two three,boho street,straight,brown_beige
Vicris Jacket suede ,3,cold,false,two three,boho street,straight,blue_light
Vicris Jacket suede ,3,cold,false,two three,boho street,straight,brown
Vicris Jacket suede ,3,cold,false,two three,boho street,straight,green_dark
Vicris Jacket suede ,3,cold,false,two three,boho street,straight,grey_blue
Vidream T-shirt city,2,warm,false,two three,casual boho,straight,blue_dark
Vidream Tshirt pure ,2,warm,false,two,casual street,straight,green
Vidream Tshirt pure ,2,warm,false,two,casual street,straight,green_khaki
Vidreamers Tshirt stripes ,2,warm,false,two three,casual,straight,pink
Viekko Jeans birch ,1,both,false,two,street boho,tight,brown_beige
Vifeli Jeans slim ,1,both,false,two three,casual street,tight,grey
Vifilak Cardigan knit ,3,warm,false,one,classic,straight,blue_light
Vifilak Cardigan knit ,3,warm,false,one,classic,straight,orange_coral
Vifilak Cardigan knit ,3,warm,false,one,classic,straight,green_light
Vigiulia Shirt swirl,2,both,false,three,boho classic,straight,blue_dark
Viglittie Jeans souh ,1,cold,false,four five,night,tight,black
Viglittie Jeans souh ,1,cold,false,four five,night,tight,brown
Vigood Cardigan noos ,3,cold,false,two three,boho casual,straight,brown_ecru
Vigood Cardigan noos ,3,cold,false,two three,boho casual,straight,grey_dark
Viher Jacket noos,3,cold,false,two three,classic,tight,black
Viinfi Cardigan noos ,3,cold,false,two,boho casual,straight,blue_dark
Viinfi Cardigan noos ,3,cold,false,two,boho casual,straight,yellow_mustand
Vijahula Dress belt ,1,both,false,two three,minimal,loose,blue_dark
Vijamille Dress midi,1,cold,false,two,classic boho,loose,black
Vijaxie Jacket long,3,cold,false,three,minimal classic,straight,black
Vijaxie Jacket long,3,cold,false,three,minimal classic,straight,blue_dark
Vijessi Coat noos ,3,cold,false,two three,boho classic,straight,black
Vijessi Coat noos ,3,cold,false,two three,boho classic,straight,blue_turquoise
Vijessi Coat noos ,3,cold,false,two three,boho classic,straight,gray_light
Vijessi Coat noos ,3,cold,false,two three,boho classic,straight,green_dark
Vijessi Coat noos ,3,cold,false,three two,boho classic,straight,grey
Vijessi Coat noos ,3,cold,false,two three,boho classic,straight,pink
Vijessi Coat noos ,3,cold,false,two three,boho classic,straight,orange_rust
Vijules Jeans washed,1,both,false,three four,street boho,straight,blue
Vijules Jeans washed,1,both,false,three four,street boho,straight,pink
Vikastanja Pant short ,1,warm,false,three,minimal classic,straight,brown_ecru
Vikatay Cardigan multi ,3,cold,false,three four,boho casual,straight,blue_light
Vikatay Cardigan multi ,3,cold,false,three four,boho casual,straight,yellow
Vikatay T-shirt stripes,2,cold,false,three,casual,straight,blue_dark
Vikatay T-shirt stripes,2,cold,false,three,casual,straight,orange
Viki Shirt burnout ,2,both,false,two three,boho classic,loose,green_dark
Vilacal Tshirt lace ,2,cold,false,three,street boho,straight,grey_dark
Vilanis Pant nomad ,1,warm,false,two three,casual street,loose,brown_beige
Vilika Pant noos ,1,both,false,two,casual,straight,black
Vilinea Pant dark,1,warm,false,three four,casual street,straight,green_khaki
Vilna Cardigan wardrobe ,3,cold,false,two three,boho,straight,black
Vilna Cardigan wardrobe ,3,cold,false,two three,boho,straight,blue_dark
Vilouiana Dress south ,1,cold,false,four,night street,straight,black
Vilucy Shirt button,2,cold,false,two,classic,straight,green_light
Vilucy Shirt lux ,2,cold,false,two three,boho classic,loose,blue
Vilucy Shirt noos ,2,both,false,two,classic minimal,straight,purple_aubergine
Vilucy Shirt noos ,2,both,false,two,classic minimal,straight,baby_blue
Vilucy Shirt noos ,2,both,false,two,classic minimal,straight,black
Vilucy Shirt noos ,2,both,false,two,classic minimal,straight,blue
Vilucy Shirt noos ,2,both,false,two,classic minimal,straight,blue_dark
Vilucy Shirt noos ,2,both,false,two,classic minimal,straight,blue_klein
Vilucy Shirt noos ,2,both,false,two,classic minimal,straight,blue_light
Vilucy Shirt noos ,2,both,false,two,classic minimal,straight,blue_turquoise
Vilucy Shirt noos ,2,both,false,two,classic minimal,straight,orange_coral
Vilucy Shirt noos ,2,both,false,two,classic minimal,straight,green
Vilucy Shirt noos ,2,both,false,two,classic minimal,straight,green_dark
Vilucy Shirt noos ,2,both,false,two,classic minimal,straight,green_khaki
Vilucy Shirt noos ,2,both,false,two,classic minimal,straight,yellow_mustand
Vilucy Shirt noos ,2,both,false,two,classic minimal,straight,pink
Vilucy Shirt noos ,2,both,false,two,classic minimal,straight,orange_rust
Vilucy Shirt noos ,2,both,false,two,classic minimal,straight,white
Vilucy Shirt phyton ,2,both,false,three,classic street,loose,blue_turquoise
Vilucy Tshirt fav ,2,warm,false,two one,classic minimal,straight,black
Vilucy Tshirt fav ,2,warm,false,two one,classic minimal,straight,blue_dark
Vilucy Tshirt fav ,2,warm,false,two one,classic minimal,straight,blue_klein
Vilucy Tshirt fav ,2,warm,false,two one,classic minimal,straight,blue_light
Vilucy Tshirt fav ,2,warm,false,two one,classic minimal,straight,green
Vilucy Tshirt fav ,2,warm,false,two one,classic minimal,straight,green_light
Vilucy Tshirt fav ,2,warm,false,two one,classic minimal,straight,pink
Vilucy Tshirt fav ,2,warm,false,two one,classic minimal,straight,pink_salmon
Vilucy Tshirt fav ,2,warm,false,two one,classic minimal,straight,white
Vilukis Jeans snow ,1,warm,false,three two,classic,tight,white
Vilukki Shorts south ,1,warm,false,two three,classic casual,straight,blue_light
Vilukki Shorts south ,1,warm,false,two three,classic casual,straight,brown_camel
Vilvera Top cloud ,2,warm,false,three,boho,tight,brown_ecru
Vilvera Top cloud ,2,warm,false,three,boho,tight,green_khaki
Vimelli Tshirt noos,2,both,true,two,classic,straight,black
Vimelli Tshirt noos,2,both,true,two,classic,straight,blue_dark
Vimelli Tshirt noos,2,both,true,two,classic,straight,pink
Vimelli Tshirt noos,2,both,true,two,classic,straight,white
Vimero Top detail ,2,cold,false,two,boho classic,loose,black
Vimero Top detail ,2,cold,false,two,boho classic,loose,blue_light
Vimero Top detail ,2,cold,false,two,boho classic,loose,pink_salmon
Vimero Top detail ,2,cold,false,two,boho classic,loose,white
Vimero Top noos,2,warm,false,two,classic boho,straight,brown_beige
Vimero Top noos,2,warm,false,two,classic boho,straight,black
Vimero Top noos,2,warm,false,two,classic boho,straight,blue_light
Vimero Top noos,2,warm,false,two,classic boho,straight,orange_coral
Vimero Top noos,2,warm,false,two,classic boho,straight,green_light
Vimero Top noos,2,warm,false,two,classic boho,straight,pink
Vimero Top noos,2,warm,false,two,classic boho,straight,pink_salmon
Vimero Top noos,2,warm,false,two,classic boho,straight,white
Vimirenza Jumpsuit v-neck ,1,warm,false,two three,minimal,straight,blue_dark
Vimonellie Top vneck ,2,warm,false,two three,boho,straight,brown_beige
Vimonellie Top vneck ,2,warm,false,two three,boho,straight,brown
Vimovement Trench noos ,3,cold,false,two one,classic,straight,brown_beige
Vimura Dress shirt ,1,warm,false,three,boho,loose,yellow_mustand
Vinaja Jacket long ,3,both,false,two,classic minimal,straight,black
Vinaja Jacket long ,3,both,false,two,classic minimal,straight,blue_dark
Vinaja Jacket long ,3,both,false,two,classic minimal,straight,gray_light
Vinaja Jacket long ,3,both,false,two,classic minimal,straight,grey
Vinaja Jacket long ,3,both,false,two,classic minimal,straight,orange_rust
Vinaja Jacket short,3,cold,true,one two,classic minimal,tight,purple_aubergine
Vinaja Jacket short,3,cold,true,one two,classic minimal,tight,black
Vinaja Jacket short,3,cold,true,one two,classic minimal,tight,blue_dark
Vinaja Jacket short,3,cold,true,one two,classic minimal,tight,garnet_crimson
Vinaja Jacket short,3,cold,true,one two,classic minimal,tight,green_dark
Vinaja Jacket short,3,cold,true,one two,classic minimal,tight,grey
Vinaja Jacket short,3,cold,true,one two,classic minimal,tight,orange_rust
Vinamia Top nice ,2,warm,false,three two,street minimal,tight,blue_dark
Vinamia Top nice ,2,warm,false,three two,street minimal,tight,brown_ecru
Vince Shirt summ ,2,both,false,three,boho classic,straight,brown_ecru
Vinoel T-shirt noos,2,warm,false,two three,casual street,straight,black
Vinoel T-shirt noos,2,warm,false,two three,casual street,straight,blue_dark
Vinoel T-shirt noos,2,warm,false,two three,casual street,straight,pink
Vinoel T-shirt noos,2,warm,false,two three,casual street,straight,white
Vinorth Scarf wool ,3,cold,,one two,casual classic,,black
